self.epoch: 0, lr: [0.0001, 0.001, 0.0002, 0.0001, 0.0001]
epoch  1/ 8 | batch     1/  404 | examples/s: 0.5 | loss: 0.0886 | loss_pe/0: 0.0886 | self_loss: 0.0886 | min_d: 0.0087 | max_d: 0.2355 | time elapsed: 00h00m19s | time left: 17h55m58s
epoch  1/ 8 | batch    26/  404 | examples/s: 2.5 | loss: 0.1249 | loss_pe/0: 0.1249 | self_loss: 0.1249 | min_d: 0.0121 | max_d: 0.2251 | time elapsed: 00h01m21s | time left: 02h47m53s
epoch  1/ 8 | batch    51/  404 | examples/s: 2.4 | loss: 0.0774 | loss_pe/0: 0.0774 | self_loss: 0.0774 | min_d: 0.0108 | max_d: 0.2269 | time elapsed: 00h02m22s | time left: 02h27m41s
epoch  1/ 8 | batch    76/  404 | examples/s: 2.4 | loss: 0.1221 | loss_pe/0: 0.1221 | self_loss: 0.1221 | min_d: 0.0119 | max_d: 0.2270 | time elapsed: 00h03m23s | time left: 02h20m30s
epoch  1/ 8 | batch   101/  404 | examples/s: 2.5 | loss: 0.1096 | loss_pe/0: 0.1096 | self_loss: 0.1096 | min_d: 0.0109 | max_d: 0.2380 | time elapsed: 00h04m23s | time left: 02h16m17s
epoch  1/ 8 | batch   126/  404 | examples/s: 2.5 | loss: 0.0133 | loss_pe/0: 0.0133 | self_loss: 0.0133 | min_d: 0.0130 | max_d: 0.2343 | time elapsed: 00h05m24s | time left: 02h13m30s
epoch  1/ 8 | batch   151/  404 | examples/s: 2.5 | loss: 0.0895 | loss_pe/0: 0.0895 | self_loss: 0.0895 | min_d: 0.0093 | max_d: 0.2267 | time elapsed: 00h06m26s | time left: 02h11m18s
epoch  1/ 8 | batch   176/  404 | examples/s: 2.5 | loss: 0.0120 | loss_pe/0: 0.0120 | self_loss: 0.0120 | min_d: 0.0136 | max_d: 0.2324 | time elapsed: 00h07m26s | time left: 02h09m11s
epoch  1/ 8 | batch   200/  404 | examples/s: 2.5 | loss: 0.1061 | loss_pe/0: 0.1061 | self_loss: 0.1061 | min_d: 0.0111 | max_d: 0.2362 | time elapsed: 00h08m24s | time left: 02h07m28s
epoch  1/ 8 | batch   201/  404 | examples/s: 2.4 | loss: 0.0095 | loss_pe/0: 0.0095 | self_loss: 0.0095 | min_d: 0.0110 | max_d: 0.2334 | time elapsed: 00h08m26s | time left: 02h07m25s
epoch  1/ 8 | batch   226/  404 | examples/s: 2.5 | loss: 0.0689 | loss_pe/0: 0.0689 | self_loss: 0.0689 | min_d: 0.0089 | max_d: 0.2280 | time elapsed: 00h09m27s | time left: 02h05m42s
epoch  1/ 8 | batch   251/  404 | examples/s: 2.4 | loss: 0.0546 | loss_pe/0: 0.0546 | self_loss: 0.0546 | min_d: 0.0107 | max_d: 0.2328 | time elapsed: 00h10m27s | time left: 02h04m11s
epoch  1/ 8 | batch   276/  404 | examples/s: 2.4 | loss: 0.0110 | loss_pe/0: 0.0110 | self_loss: 0.0110 | min_d: 0.0102 | max_d: 0.2392 | time elapsed: 00h11m28s | time left: 02h02m54s
epoch  1/ 8 | batch   301/  404 | examples/s: 2.4 | loss: 0.0762 | loss_pe/0: 0.0762 | self_loss: 0.0762 | min_d: 0.0100 | max_d: 0.2265 | time elapsed: 00h12m30s | time left: 02h01m44s
epoch  1/ 8 | batch   326/  404 | examples/s: 2.5 | loss: 0.0129 | loss_pe/0: 0.0129 | self_loss: 0.0129 | min_d: 0.0123 | max_d: 0.2284 | time elapsed: 00h13m30s | time left: 02h00m24s
epoch  1/ 8 | batch   351/  404 | examples/s: 2.5 | loss: 0.1119 | loss_pe/0: 0.1119 | self_loss: 0.1119 | min_d: 0.0102 | max_d: 0.2634 | time elapsed: 00h14m31s | time left: 01h59m10s
epoch  1/ 8 | batch   376/  404 | examples/s: 2.5 | loss: 0.1699 | loss_pe/0: 0.1699 | self_loss: 0.1699 | min_d: 0.0100 | max_d: 0.2668 | time elapsed: 00h15m31s | time left: 01h57m57s
epoch  1/ 8 | batch   400/  404 | examples/s: 2.6 | loss: 0.1460 | loss_pe/0: 0.1460 | self_loss: 0.1460 | min_d: 0.0130 | max_d: 0.2287 | time elapsed: 00h16m30s | time left: 01h56m50s
epoch  1/ 8 | batch   401/  404 | examples/s: 2.5 | loss: 0.0312 | loss_pe/0: 0.0312 | self_loss: 0.0312 | min_d: 0.0106 | max_d: 0.2335 | time elapsed: 00h16m32s | time left: 01h56m47s
self.epoch: 1, lr: [0.0001, 0.001, 0.0002, 0.0001, 0.0001]
epoch  2/ 8 | batch     1/  404 | examples/s: 2.3 | loss: 0.1666 | loss_pe/0: 0.1666 | self_loss: 0.1666 | min_d: 0.0104 | max_d: 0.2570 | time elapsed: 00h25m30s | time left: 02h58m02s
epoch  2/ 8 | batch    26/  404 | examples/s: 2.5 | loss: 0.0142 | loss_pe/0: 0.0142 | self_loss: 0.0142 | min_d: 0.0111 | max_d: 0.2314 | time elapsed: 00h26m31s | time left: 02h52m47s
epoch  2/ 8 | batch    51/  404 | examples/s: 2.5 | loss: 0.1056 | loss_pe/0: 0.1056 | self_loss: 0.1056 | min_d: 0.0206 | max_d: 0.2459 | time elapsed: 00h27m31s | time left: 02h48m01s
epoch  2/ 8 | batch    76/  404 | examples/s: 2.5 | loss: 0.0885 | loss_pe/0: 0.0885 | self_loss: 0.0885 | min_d: 0.0088 | max_d: 0.2363 | time elapsed: 00h28m32s | time left: 02h43m37s
epoch  2/ 8 | batch   101/  404 | examples/s: 2.5 | loss: 0.1053 | loss_pe/0: 0.1053 | self_loss: 0.1053 | min_d: 0.0133 | max_d: 0.2349 | time elapsed: 00h29m35s | time left: 02h39m45s
epoch  2/ 8 | batch   126/  404 | examples/s: 2.5 | loss: 0.1694 | loss_pe/0: 0.1694 | self_loss: 0.1694 | min_d: 0.0111 | max_d: 0.2480 | time elapsed: 00h30m38s | time left: 02h36m10s
epoch  2/ 8 | batch   151/  404 | examples/s: 2.5 | loss: 0.1104 | loss_pe/0: 0.1104 | self_loss: 0.1104 | min_d: 0.0156 | max_d: 0.4025 | time elapsed: 00h31m39s | time left: 02h32m42s
epoch  2/ 8 | batch   176/  404 | examples/s: 2.5 | loss: 0.1060 | loss_pe/0: 0.1060 | self_loss: 0.1060 | min_d: 0.0133 | max_d: 0.2374 | time elapsed: 00h32m41s | time left: 02h29m26s
